LibriVox_id,Title_updated,Recording_Uploaded,LJ_Sections,LJ_Duration
20680,"The Cambridge Medieval History, Volume 04, The Eastern Roman Empire",6-12-25,4,1h 51m 3s
20996,"The World's Famous Orations, Vol. VIII: America—I",4-22-25,10,3h 2m 28s
19986,,7-18-24,2,1h 52m 49s
16253,"The Great Events by Famous Historians, Volume 14",5-6-24,2,1h 5m 40s
19965,"The Cambridge Medieval History, Volume 02, The Rise of the Saracens and the Foundation of the Western Empire",4-5-24,1,29m 42s
19132,"The Great Events by Famous Historians, Volume 12",9-6-23,2,49m 30s
18266,"The Great Events by Famous Historians, Volume 11",5-15-23,2,57m 6s
17096,,7-31-22,1,30m 5s
17247,"The History of Rome, volume 1",5-31-22,6,3h 34m 1s
16744,"The Great Events by Famous Historians, Volume 08",5-1-22,5,3h 0m 37s
15839,"The Cambridge Modern History, Volume 02, The Reformation",8-4-21,10,6h 5m 36s
16353,,6-9-21,3,1h 22m 46s
15179,The Empresses of Constantinople,2-10-21,2,48m 13s
14991,"The Cambridge Modern History, Volume 01, The Renaissance",1-16-21,24,17h 19m 23s
15352,The Story of My Life and Work,11-12-20,6,2h 3m 22s
15167,An American Vendetta: A Story of Barbarism in the United States,8-17-20,4,47m 51s
15330,The National Geographic Magazine Vol. 09 - 04. April 1898,7-31-20,3,1h 17m 1s
14976,"The Medici, Volume 2",7-10-20,17,5h 33m 34s
13917,"The Great Events by Famous Historians, Volume 03",4-13-20,10,4h 34m 58s
14372,,2-3-20,4,36m 52s
14587,The Rise and Fall of Prohibition,1-4-20,2,37m 15s
14442,,12-29-19,17,8h 5m 27s
3246,The History of Australia and New Zealand from 1606 to 1890,11-25-19,11,3h 50m 42s
14114,,9-10-19,8,2h 41m 36s
10961,,9-9-19,5,2h 21m 20s
13666,"The Great Events by Famous Historians, Volume 02",8-13-19,2,59m 3s
13726,The Privilege of Pain,7-8-19,3,29m 16s
13789,,5-19-19,14,2h 56m 3s
13835,,5-2-19,6,44m 49s
13563,"The Great Events by Famous Historians, Volume 01",4-28-19,5,2h 26m 36s
13617,The Romance of Piracy,4-8-19,8,3h 23m 17s
13429,,3-30-19,10,2h 41m 43s
13401,,3-24-19,5,1h 46m 20s
13379,,3-12-19,10,3h 15m 22s
13391,The Story of a Loaf of Bread,1-12-19,2,1h 4m 9s
13213,The Romance of Plant Life,12-22-18,11,4h 58m 3s
13536,,12-5-18,5,40m 3s
6807,,10-6-18,2,56m 7s
11716,,8-30-18,7,2h 16m 3s
12931,An Account of Egypt,7-19-18,1,27m 37s
12828,,7-15-18,3,55m 36s
11855,The Science - History of the Universe Vol. 4: Chemistry,6-24-18,2,49m
12723,,5-23-18,12,5h 55m
12724,,3-31-18,9,3h 19m 28s
12453,The American Language,1-21-18,12,3h 59m 29s
12252,The Meditations of the Emperor Marcus Aurelius Antoninus,1-1-18,1,23m 4s
8433,,11-19-17,16,11h 38m 45s
11739,The Lives of the Ancient Philosophers,11-2-17,3,1h 20m 14s
11318,,10-20-17,11,7h 42m 59s
10854,,10-9-17,4,1h 45m 30s
11845,,9-24-17,11,2h 29m 3s
12057,,8-12-17,8,5h 30m 35s
11086,,7-23-17,26,7h 0m 8s
11962,,7-14-17,7,2h 46m 6s
11846,,5-24-17,2,23m 11s
11201,The Science - History of the Universe Vol. 5: Biology,3-31-17,6,2h 2m 38s
11214,"The World's Famous Orations, Vol. I: Greece",3-28-17,1,10m 34s
11464,The Lion of Saint Mark: A Story of Venice in the Fourteenth Century,2-3-17,11,6h 38m 24s
11336,,1-1-17,22,4h 31m 28s
11076,,11-24-16,3,1h 29m 39s
7103,,10-2-16,4,40m
