LJ101-0001|Very soon now I shall be strong enough on my cyclone leg to resume my lessons in waltzing.
LJ101-0002|It is needless to say that I look forward with great pleasure to that moment.
LJ101-0003|Nature intended that I should glide in the mazy.
LJ101-0004|Tall, lithe, bald-headed, genial, limber in the extreme, suave, soulful, frolicsome at times,
LJ101-0005|Those who have observed my polished brow, when under a strong electric light, say they never saw a man shine so in society as I do.
LJ101-0006|My wife taught me how to waltz. She would teach me on Saturdays and repair her skirts during the following week.
LJ101-0007|I told her once that I thought I was too brainy to dance.
LJ101-0008|She said she hadn't noticed that, but she thought I seemed to run too much to legs.
LJ101-0009|My wife is not timid about telling me anything that she thinks will be for my good.
LJ101-0010|When I make a mistake she is perfectly frank with me, and comes right to me and tells me about it, so that I won't do so again.
LJ101-0011|I had just learned how to reel around a ballroom to a little waltz music, when I was blown across the State of Mississippi in September last by a high wind,
LJ101-0012|When this accident occurred I had just got where I felt at liberty to choose a glorious being with starry eyes and fluffy hair,
LJ101-0013|One young lady, with whom I had waltzed a good deal, when she heard that my leg was broken, began to attend every dancing party she could hear of,
LJ101-0014|although she had declined a great many previous to that.
LJ101-0015|I asked her how she could be so giddy and so gay when I was suffering.
LJ101-0016|She said she was doing it to drown her sorrow,
LJ101-0017|but her little brother told me on the quiet that she was dancing while I was sick because she felt perfectly safe.
LJ101-0018|A friend of mine says I have a pronounced and distinctly original manner of waltzing,
LJ101-0019|He claimed that either one of us would be a good dancer if he could have the whole ring to himself.
LJ101-0020|He said that he would like to see Jumbo and me waltz together if he were not afraid that I would step on Jumbo and hurt him.
LJ101-0021|You can see what a feeling of jealous hatred it arouses in some small minds when a man gets so that he can mingle in good society and enjoy himself.
LJ101-0022|I could waltz more easily if the rules did not require such a constant change of position.
LJ101-0023|I am sedentary in my nature, slow to move about, so that it takes a lady of great strength of purpose to pull me around on time.
LJ101-0024|Anecdotes of the Stage.
LJ101-0025|Years ago, before Laramie City got a handsome opera house, everything in the theatrical and musical line of a high order was put on the stage of Blackburn's Hall.
LJ101-0026|Other light dramas on the stage, and thrilling murders in the audience, used to occur at Alexander's Theater, on Front street.
LJ101-0027|Here you could get a glass of Laramie beer, made of glucose, alkali water, plug tobacco, and Paris green,
LJ101-0028|The idea of inebriating a man at the box office, so that he will endure such a sham, is certainly worthy of serious consideration.
LJ101-0029|I have seen shows at Alexander's, and also at McDaniel's, in Cheyenne, however, where the bar should have provided an ounce of
LJ101-0030|Here you could sit down in the orchestra and take the chances of getting hit when the audience began to shoot at the pianist,
LJ101-0031|The beer-jerker was never too proud to speak to the most humble, and if she could sell a grub-staker for $5 a bottle of real Piper Heidsick,
LJ101-0032|A room-mate of mine, whose name I will not give, simply because he was and still is the best fellow in the United States,
LJ101-0033|He didn't wear it that way generally, so it occasioned talk in social circles.
LJ101-0034|He still has a natural parting of the hair about five inches long, that he acquired that night.
LJ101-0035|He said it was accidental so far as he was concerned,
LJ101-0036|but unless the management could keep people from shooting the holders of reserved seats between the acts or any other vital spot,
LJ101-0037|I think that any court in the land would protect a man who had purchased a seat in good faith,
LJ101-0038|Several such accidents occurred at the said theater.
LJ101-0039|Among them was a little tableau in which Joe Walker and Centennial Bob took the leading parts.
LJ101-0040|There was a little difference between them as to the regularity of a “draw” and “show down,”
LJ101-0041|and, after he had introduced the collection into Joe's front breadth,
LJ101-0042|the latter's system was so lacerated that it wouldn't retain ground feed.
LJ101-0043|There were other little incidents like that which occurred in and around the old theater, some growing out of the lost love of a beer-jerker,
LJ101-0044|and some from the rarified mountain air, united with an epidemic known as mania rotguti.
LJ101-0045|He is using what is called a profile cow now, which works by machinery.
LJ101-0046|Last winter this cow ran down while in the middle of the stage, and forgot her lines.
LJ101-0047|The prompter gave the string a jerk in order to assist her.
LJ101-0048|while the behind-quarters and porter-house steak retired to the outer dressing-room. The audience called for an encore;
LJ101-0049|Those who may be tempted to harshly criticise this last remark, are gently reminded that the intense heat of the past month is liable to effect anyone's mind.
LJ101-0050|Remember, gentle reader, that your own brain may some day soften also, and then you will remember how harsh you were toward me.
LJ101-0051|Prior to the profile cow, the company ran a wicker-work cow, that was hollow and admitted of two hired-men, who operated the beast at a moderate salary.
LJ101-0052|These men drilled a long time on what they called a heifer dance— a beautiful spectacular, and highly moral and instructive quadruped clog,
