LJ2_index,LibriVox_id,Section,Authors,LJ2_file_count,Duration_wavs_min,Included_in_80_excerpts
101,7103,82,Bill Nye,60,6.0086923658352200,
102,11076,15,John Kendrick Bangs,188,21.74974300831440,
103,11336,19,Alphonse Daudet,83,6.625276455026460,1
104,11464,20,G. A. Henty,90,9.575936885865460,
105,11214,11,Hermocrates,55,6.441776832955400,
106,11201,11,Caroline E. Stackpole,129,15.186431783824600,1
107,11201,13,Caroline E. Stackpole,151,16.938081443688600,2
108,11201,16,Caroline E. Stackpole,127,14.108942365835200,1
109,11846,1,Marion Harland,73,6.967302532123960,3
110,11962,9,Richard A. Proctor,151,17.361024754346200,1
111,11962,31,Richard A. Proctor,36,4.502261526832960,
112,11086,24,Henry Charles Lea,46,5.658303476946330,
113,12057,4,Albert Payson Terhune,260,25.63627739984880,
114,11845,2,William Morris,87,10.648942365835200,1
115,11845,19,Alan S. Cole,56,7.168598639455780,1
116,11845,28,T. G. Jackson,59,7.495550075585790,1
117,10854,16,Hans Gross,173,17.856171012849600,
118,11318,24,George Walter Thornbury,68,7.083851095993950,
119,11739,2,François Fénelon,93,10.119246598639500,
120,8433,16,Harry A. Franck,65,7.379770408163270,
121,8433,20,Harry A. Franck,96,10.181353741496600,1
122,12252,12,Marcus Aurelius,186,15.025620181405900,
123,12453,27,H. L. Mencken,150,14.936334467120200,1
124,12453,39,H. L. Mencken,90,9.845610355253210,
125,12724,12,H. L. Mencken,200,22.430481481481500,
126,12723,17,Charles Mackay,104,11.483368858654600,1
127,11855,1,William Allan Hamor,66,8.091021541950120,
128,12828,23,John M. Burke,33,3.2226562736205600,1
129,12931,6,Herodotus,108,12.802356009070300,1
130,11716,33,Charles Morris,87,9.015524376417230,1
131,6807,10,President's Commission on the Accident at Three Mile Island,195,21.682404195011300,1
132,13536,4,Maria Parloa,43,4.382265873015870,1
133,13536,6,Maria Parloa,44,4.565751322751320,
134,13213,23,George Francis Scott-Elliot,149,16.394718253968300,
135,13391,8,Thomas Barlow Wood,127,14.876237150415700,1
136,13379,15,Harry Chase Brearley,118,13.009786470143600,1
137,13401,4,G. K. Chesterton,125,12.790356953892700,1
138,13429,46,Arthur L. Hayward,39,4.972352796674230,
139,13617,24,Edward Keble Chatterton,94,10.702696523053700,
140,13563,18,Thomas William Rhys-Davids,112,11.372805744520000,
141,13835,24,Niccolò Machiavelli,15,1.6784518140589600,
142,13789,5,Arthur L. Hayward,41,5.241359977324260,
143,13726,12,Caroline Kane Mills Everett,11,1.247610544217690,1
144,13666,37,Edward S. Creasy,101,12.262992630385500,
145,10961,55,Charles Lyell,108,13.114090702947800,1
146,14114,4,Robert Matteson Johnston,80,8.996696145124720,
147,3246,15,George and Alexander Sutherland,61,6.769836167800450,1
148,14442,38,Charles Eliot,92,9.680328042328040,1
149,14587,15,Charles Hanson Towne,128,13.376411186696900,
150,14372,3,Francis Whiting Halsey,53,5.563113567649280,
151,13917,7,Isaac M. Wise,102,11.582465230536700,
152,14976,18,G. F. Young,48,5.286674225245650,
153,15330,4,E. W. Nelson,113,14.989496031746000,1
154,15167,14,Theron Clark Crawford,64,7.00427059712774,1
155,15352,19,Booker T. Washington,63,7.466980914588060,
156,14991,35,H. Butler Clarke,135,15.045531179138300,
157,15179,23,Joseph Martin McCabe,71,8.39523261526833,
158,16353,6,Stanley Leathes,103,10.99734977324260,
159,15839,54,James Bass Mullinger,3,0.30785695389266800,
160,15839,57,James Bass Mullinger,90,11.106691987906300,
161,16744,29,Clements Robert Markham,72,8.180102040816330,
162,17247,28,Titus Livius,162,16.441818972033300,
163,17096,10,Leigh North,102,11.62017649281940,
164,18266,3,Beckles Willson,141,15.300763605442200,
